Lat,Lon
20.194074253107566,-134.42455696543166
19.93567575839265,-134.1938828519315
19.588517712537385,-133.97844526846592
19.154649000685357,-133.78220570136347
18.63658808098079,-133.60868539257433
18.03728299764647,-133.46089885620069
17.360067343857718,-133.34130512041926
16.60861397397975,-133.2517769051305
15.786888186151337,-133.19358697764235
14.899101923560075,-133.16741015169168
13.9496703031864,-133.17333884715828
12.943171502845498,-133.21090981650957
11.884310747471943,-133.27913955131982
10.777888855457727,-133.3765659713946
9.628775551691488,-133.50129422656045
8.441887535145163,-133.65104475861637
7.222171110173588,-133.8232021370731
5.974589051697856,-134.01486356034857
4.704111271921501,-134.2228862774288
3.4157087848225984,-134.44393351466195
2.1143504181518225,-134.67451877724378
0.8050016947335619,-134.9110486289368
-0.5073747102433375,-135.14986423535234
-1.8178175363695748,-135.38728208570163
-3.121365132745464,-135.61963438704382
-4.413053884075794,-135.84330965482127
-5.687917471311459,-136.05479400474
-6.940987567654249,-136.25071358296714
-8.167296564645246,-136.4278784537689
-9.361882906720037,-136.58332810375563
-10.519799607441449,-136.71437844075714
-11.63612642902418,-136.81867004107824
-12.705986208918523,-136.8942168798004
-13.724565671040294,-136.93945457302164
-14.687140949972735,-136.95328672489705
-15.589107883765825,-136.9351276119714
-16.426016921721565,-136.88493910656763
-17.19361224746896,-136.80325949015023
-17.88787444315995,-136.6912216837187
-18.50506573232872,-136.55055847017528
-19.04177655709755,-136.38359254281846
-19.49497199574746,-136.19320970614615
-19.862036337084177,-135.98281428040318
-20.140814026413896,-135.75626668771454
-20.32964520724005,-135.51780426236715
-20.42739421714203,-135.27194743759767
-20.433469657329212,-135.02339450475736
-20.347835030236922,-134.77690900090255
-20.171009401180193,-134.5372043554592
-19.90405804993397,-134.30883064423932
-19.548573591023246,-134.09606813149526
-19.106648511889095,-133.90283175000405
-18.580840466211157,-133.73258984104726
-17.97413193672036,-133.58829945038894
-17.289886033043373,-133.47235936843504
-16.53180021529283,-133.3865810264388
-15.703859645897351,-133.33217641152996
-14.810291692662059,-133.30976140940402
-13.85552286256914,-133.3193724597356
-12.844139166723505,-133.36049412080826
-11.780850628074456,-133.43209506583764
-10.670460366301066,-133.5326701374479
-9.517838443813575,-133.6602863232757
-8.327900442482996,-133.81263083885938
-7.105590566157129,-133.98705987068755
-5.855868929105464,-134.18064690949825
-4.583702591199499,-134.39022996314952
-3.294059831956082,-134.6124572637758
-1.9919071109714066,-134.843831363471
-0.6822081356471917,-135.08075174143562
0.6300755572464641,-135.31955622214255
1.9399831064112787,-135.556561628699
3.242552520190798,-135.788104169939
4.532819163732723,-136.01058008520914
5.805815142324691,-136.22048704711617
7.056570181695743,-136.41446675022885
8.280114599675548,-136.58934899064306
9.471484946590108,-136.74219736538325
10.625732885151875,-136.87035650112654
11.737937787629775,-136.97150042491234
12.803223527015536,-137.04368138923124
13.816779789987699,-137.08537808724884
14.773888126200228,-137.0955418230461
15.66995277156941,-137.07363883198568
16.500536069768476,-137.01968661978304
17.26139806625151,-136.93428194795186
17.948539571865812,-136.81861798279215
18.55824770358908,-136.67448819215622
19.08714262921651,-136.50427485491184
19.532223996804106,-136.31092056455688
19.89091534684134,-136.097881856019
20.16110471284565,-135.8690650306585
20.341179637019987,-135.6287453302167
20.430054974659654,-135.38147172235028
20.42719213461122,-135.13196059371185
20.332608788881412,-134.88498248577346
20.146878554051753,-134.64524655244384
19.871120660889805,-134.4172875997062
19.506980140815806,-134.20536036231735
19.056599523240454,-134.01334510775152
18.52258341722553,-133.8446678028994
17.90795761682058,-133.70223703731304
17.2161245084144,-133.5883987839961
16.45081657169527,-133.504909008337
15.616049667149895,-133.4529232011183
14.716077615343364,-133.4330011773534
13.755349324198864,-133.44512498155993
12.738469438502909,-133.48872747328517
11.670163196545246,-133.56272911253237
10.555245902880394,-133.66558058422638
9.398597178394132,-133.79530914901287
8.205139937858693,-133.94956693766298
6.979823874337097,-134.12567977679515
5.727613098277665,-134.3206955104427
4.453477483158325,-134.53143113976367
3.1623872033753617,-134.75451842448925
1.8593099077784325,-134.98644786508916
0.5492099470654285,-135.22361120821927
-0.762950939900354,-135.46234278943083
-2.0722120818544933,-135.69896014689732
-3.3736120761762685,-135.92980440918032
-4.662187338781363,-136.1512809804147
-5.932971605572641,-136.3599010178858
-7.180996985249556,-136.55232411957402
-8.401297156086686,-136.72540251110027
-9.588913281127589,-136.87622685167645
-10.738903207755657,-137.00217348797196
-11.846354422938141,-137.1009528493269
-12.906401230932621,-137.17065815336971
-13.914246468613745,-137.20981337812216
-14.865187956543165,-137.21741902061348
