Lat,Lon
-47.906002655880826,-94.71181859425695
-46.29598913029536,-89.80032851951418
-44.46634823765251,-85.20095696727799
-42.443050422980825,-80.90925072162536
-40.2504851606942,-76.91108227088917
-37.91094128812524,-73.18614529454688
-35.444407551501364,-69.71074923719617
-32.868590898722005,-66.4598581901282
-30.199066310694445,-63.408461376535456
-27.449494600481586,-60.53241572489132
-24.631865751691603,-57.80890248054914
-21.756741984284588,-55.21661796694705
-18.83348649803458,-52.73579048725673
-15.870471560172392,-50.34808924332981
-12.87526434663892,-48.036470043282264
-9.85479168164272,-45.78498681073812
-6.8154862768849735,-43.578586733768304
-3.763417766932671,-41.40289926768994
-0.7044121074699007,-39.24402417538211
2.3558370381099967,-37.08832059662059
