Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Radiant Flux (W),Counts,Airmass
2024-08-22 15:40:00-04:00,34.37572624165048,8.986315036475512,328.16891567838144,-36.55947695364537,8282.954040068755,0.0,0.0,-1.6790450512079802
2024-08-22 15:40:00.500000-04:00,34.398360639414854,8.991057719280938,328.14838014344457,-36.54674222051952,8280.845084001026,0.0,0.0,-1.6795464980369068
2024-08-22 15:40:01-04:00,34.42100244274241,8.99579121149559,328.1278395299731,-36.53400847814619,8278.73601862684,0.0,0.0,-1.6800482874568
2024-08-22 15:40:01.500000-04:00,34.443651653475655,9.000515504534382,328.10729383010954,-36.521275728282184,8276.62684449203,0.0,0.0,-1.680550419699122
2024-08-22 15:40:02-04:00,34.46630827345181,9.005230589804869,328.0867430359931,-36.50854397268555,8274.517562142788,0.0,0.0,-1.6810528949954417
2024-08-22 15:40:02.500000-04:00,34.48897230449816,9.009936458707372,328.0661871397626,-36.49581321311669,8272.408172125828,0.0,0.0,-1.6815557135773915
2024-08-22 15:40:03-04:00,34.51164374844458,9.014633102635102,328.04562613355165,-36.483083451336604,8270.2986749881,0.0,0.0,-1.6820588756767325
2024-08-22 15:40:03.500000-04:00,34.53432260711302,9.019320512974097,328.0250600094913,-36.47035468910744,8268.189071276931,0.0,0.0,-1.682562381525338
2024-08-22 15:40:04-04:00,34.55700888231942,9.023998681102979,328.0044887597114,-36.457626928193775,8266.07936154015,0.0,0.0,-1.68306623135514
2024-08-22 15:40:04.500000-04:00,34.57970257587841,9.02866759839324,327.98391237633905,-36.44490017036141,8263.969546325972,0.0,0.0,-1.683570425398178
2024-08-22 15:40:05-04:00,34.60240368959973,9.033327256208997,327.96333085149973,-36.43217441737827,8261.859626183104,0.0,0.0,-1.6840749638865595
2024-08-22 15:40:05.500000-04:00,34.62511222528546,9.037977645907395,327.9427441773121,-36.41944967101188,8259.74960166031,0.0,0.0,-1.6845798470525628
2024-08-22 15:40:06-04:00,34.64782818473751,9.042618758838406,327.9221523458956,-36.406725933032526,8257.639473306986,0.0,0.0,-1.6850850751285142
2024-08-22 15:40:06.500000-04:00,34.67055156974904,9.047250586344198,327.901555349369,-36.39400320521324,8255.529241673117,0.0,0.0,-1.685590648346783
2024-08-22 15:40:07-04:00,34.69328238211503,9.051873119760279,327.880953179844,-36.38128148932639,8253.418907308725,0.0,0.0,-1.686096566939919
2024-08-22 15:40:07.500000-04:00,34.71602062361699,9.056486350414705,327.8603458294314,-36.36856078714668,8251.308470764372,0.0,0.0,-1.686602831140533
2024-08-22 15:40:08-04:00,34.73876629603787,9.061090269628103,327.83973329024104,-36.35584110045117,8249.197932591145,0.0,0.0,-1.6871094411812981
2024-08-22 15:40:08.500000-04:00,34.761519401158886,9.065684868714438,327.81911555437586,-36.34312243101614,8247.087293340153,0.0,0.0,-1.6876163972950704
2024-08-22 15:40:09-04:00,34.78427994074761,9.070270138979536,327.79849261394276,-36.33040478062309,8244.97655356352,0.0,0.0,-1.6881236997146518
2024-08-22 15:40:09.500000-04:00,34.807047916575385,9.074846071722991,327.77786446103767,-36.31768815105054,8242.865713813015,0.0,0.0,-1.6886313486731155
2024-08-22 15:40:10-04:00,34.829823330404665,9.079412658236263,327.7572310877621,-36.304972544082645,8240.754774641498,0.0,0.0,-1.6891393444034661
2024-08-22 15:40:10.500000-04:00,34.852606183994574,9.083969889804079,327.7365924862082,-36.29225796150217,8238.64373660173,0.0,0.0,-1.6896476871389157
2024-08-22 15:40:11-04:00,34.87539647909852,9.088517757703414,327.7159486484724,-36.27954440509636,8236.532600247363,0.0,0.0,-1.6901563771126475
2024-08-22 15:40:11.500000-04:00,34.89819421746948,9.09305625320485,327.69529956663956,-36.266831876649825,8234.421366131766,0.0,0.0,-1.690665414558108
2024-08-22 15:40:12-04:00,34.920999400848615,9.09758536757091,327.67464523279966,-36.25412037795253,8232.310034809336,0.0,0.0,-1.691174799708678
2024-08-22 15:40:12.500000-04:00,34.943812030979174,9.102105092057142,327.6539856390356,-36.24140991079396,8230.198606834527,0.0,0.0,-1.691684532797912
2024-08-22 15:40:13-04:00,34.96663210959661,9.106615417911483,327.63332077743246,-36.22870047696731,8228.087082762562,0.0,0.0,-1.692194614059367
2024-08-22 15:40:13.500000-04:00,34.98945963843152,9.11111633637552,327.6126506400644,-36.2159920782634,8225.975463148421,0.0,0.0,-1.6927050437268498
2024-08-22 15:40:14-04:00,35.01229461921007,9.1156078386826,327.591975219011,-36.20328471647853,8223.863748548123,0.0,0.0,-1.6932158220340958
2024-08-22 15:40:14.500000-04:00,35.03513705365541,9.120089916059243,327.57129450634477,-36.1905783934085,8221.751939517755,0.0,0.0,-1.693726949215017
2024-08-22 15:40:15-04:00,35.057986943486576,9.124562559724584,327.5506084941375,-36.17787311085154,8219.640036613951,0.0,0.0,-1.6942384255035745
2024-08-22 15:40:15.500000-04:00,35.08084429041182,9.129025760890581,327.52991717445667,-36.16516887060675,8217.528040393634,0.0,0.0,-1.694750251133851
2024-08-22 15:40:16-04:00,35.10370909614246,9.133479510761921,327.509220539367,-36.15246567447466,8215.415951414097,0.0,0.0,-1.6952624263400167
2024-08-22 15:40:16.500000-04:00,35.1265813623801,9.137923800535813,327.488518580933,-36.13976352425871,8213.303770233286,0.0,0.0,-1.6957749513562843
2024-08-22 15:40:17-04:00,35.14946109082478,9.142358621402355,327.46781129121456,-36.12706242176284,8211.191497409343,0.0,0.0,-1.6962878264169894
2024-08-22 15:40:17.500000-04:00,35.17234828316903,9.146783964544285,327.44709866226907,-36.114362368792804,8209.079133500878,0.0,0.0,-1.6968010517565502
