Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km)
2023-12-31 19:00:00-05:00,352.61762069501526,-6.178598558189237,218.55000373859798,37.25730322695703,37993.23134127832
2023-12-31 20:00:00-05:00,7.651314940672448,-5.630592183384949,218.90054932879633,37.730088025652684,37955.474123440865
2023-12-31 21:00:00-05:00,22.68631378271381,-5.10803353187302,219.2316579529488,38.17284672630847,37920.368224802216
2023-12-31 22:00:00-05:00,37.72447433503016,-4.646858800637431,219.51800370519302,38.55603455040367,37890.18363280454
2023-12-31 23:00:00-05:00,52.76674075772973,-4.278882056617963,219.73757032315973,38.85386341588775,37866.84879904066
2024-01-01 00:00:00-05:00,67.81284390060037,-4.029556470237224,219.8738797497375,39.04591071294366,37851.85760003549
2024-01-01 01:00:00-05:00,82.86133465746911,-3.9161559436185294,219.91760260716168,39.118498764765185,37846.1967880997
2024-01-01 02:00:00-05:00,97.90994640513935,-3.946526304818562,219.86727519232227,39.06576234348887,37850.29068260042
2024-01-01 03:00:00-05:00,112.95619128722315,-4.118516306148401,219.72902492169982,38.890293408162364,37863.963455168814
2024-01-01 04:00:00-05:00,127.99802942940694,-4.42014136680425,219.51542241186885,38.60324287064859,37886.423939129614
2024-01-01 05:00:00-05:00,143.0344289679044,-4.830465073989488,219.24376208681997,38.22378518563584,37916.28149900342
2024-01-01 06:00:00-05:00,158.0656647788278,-5.321117241176688,218.93415839710977,37.777915435036604,37951.60240695446
2024-01-01 07:00:00-05:00,173.09327544240625,-5.858315047559647,218.6078057309844,37.29663599113468,37990.013483789626
2024-01-01 08:00:00-05:00,188.1196900496826,-6.405222755320589,218.28561359524,36.81367688338547,38028.853664497474
2024-01-01 09:00:00-05:00,203.14762333693105,-6.92447580307825,217.98725780286716,36.36295833603821,38065.36592031018
2024-01-01 10:00:00-05:00,218.1793974363936,-7.380700863510878,217.73054863951123,35.976033646055406,38096.913588269774
2024-01-01 11:00:00-05:00,233.21636703780968,-7.742876820020363,217.53094864381154,35.67974520885841,38121.19875774715
2024-01-01 12:00:00-05:00,248.25859831827484,-7.986396847870392,217.40108083877217,35.49429354361089,38136.457597470035
2024-01-01 13:00:00-05:00,263.3048862065861,-8.09470768706222,217.35013321350755,35.431867855443734,38141.60919081105
2024-01-01 14:00:00-05:00,278.35310497921944,-8.060421673404266,217.38315616560166,35.49592531900813,38136.34034853244
2024-01-01 15:00:00-05:00,293.4007970811742,-7.885824297051114,217.50033741143494,35.681141773371614,38121.117816439226
2024-01-01 16:00:00-05:00,308.44583955691456,-7.582736890015064,217.69640320628983,35.973995094470816,38097.12950374989
2024-01-01 17:00:00-05:00,323.48700638670914,-7.171738199049662,217.96032425234742,36.35389067069709,38066.16580669214
2024-01-01 18:00:00-05:00,338.524274961431,-6.6807942254947585,218.27549569367682,36.7947022547885,38030.45899108651
