Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 19:00:00-07:00,110.20666708112043,-5.267692860732051,138.4665468326895,42.55432152719366,37589.07080259179,0%
2025-03-09 19:01:00-07:00,110.45723266631305,-5.267161174861599,138.4666943370435,42.55433731781935,37589.117867914814,0%
2025-03-09 19:02:00-07:00,110.70779739153423,-5.266629869468852,138.4668421522657,42.5543538871693,37589.16473869969,0%
2025-03-09 19:03:00-07:00,110.95836125911867,-5.2660989547297055,138.46699027554772,42.554371234898696,37589.21141405297,0%
2025-03-09 19:04:00-07:00,111.20892427140542,-5.265568440813415,138.4671387040805,42.55438936064931,37589.25789308474,0%
2025-03-09 19:05:00-07:00,111.45948643076437,-5.2650383378823244,138.46728743504246,42.5544082640436,37589.30417490929,0%
2025-03-09 19:06:00-07:00,111.71004773956408,-5.264508656091836,138.46743646562368,42.55442794469645,37589.35025864401,0%
2025-03-09 19:07:00-07:00,111.9606082002094,-5.263979405589956,138.4675857929865,42.55444840219608,37589.39614341104,0%
2025-03-09 19:08:00-07:00,112.21116781510374,-5.263450596517383,138.46773541430827,42.554469636124665,37589.4418283357,0%
2025-03-09 19:09:00-07:00,112.46172658667307,-5.262922239007091,138.4678853267543,42.554491646045385,37589.48731254742,0%
2025-03-09 19:10:00-07:00,112.71228451736195,-5.262394343184297,138.4680355274845,42.554514431505325,37589.53259517953,0%
2025-03-09 19:11:00-07:00,112.96284160963094,-5.261866919166065,138.46818601364606,42.554537992032316,37589.577675369605,0%
2025-03-09 19:12:00-07:00,113.21339786594426,-5.261339977061443,138.4683367824034,42.55456232714904,37589.622552258355,0%
2025-03-09 19:13:00-07:00,113.46395328880097,-5.260813526970875,138.46848783089223,42.554587436350985,37589.66722499132,0%
2025-03-09 19:14:00-07:00,113.71450788070288,-5.260287578986319,138.46863915625812,42.55461331912513,37589.711692717465,0%
2025-03-09 19:15:00-07:00,113.96506164417036,-5.259762143190907,138.4687907556394,42.55463997494148,37589.75595458984,0%
2025-03-09 19:16:00-07:00,114.21561458174264,-5.259237229658759,138.46894262616746,42.554667403253404,37589.800009765604,0%
2025-03-09 19:17:00-07:00,114.46616669597208,-5.25871284845484,138.46909476496774,42.5546956034978,37589.843857405955,0%
2025-03-09 19:18:00-07:00,114.71671798941999,-5.2581890096347905,138.46924716917465,42.554724575102796,37589.8874966757,0%
2025-03-09 19:19:00-07:00,114.96726846467973,-5.257665723244583,138.46939983589405,42.55475431746891,37589.930926744324,0%
2025-03-09 19:20:00-07:00,115.21781812434595,-5.257142999320475,138.46955276224762,42.55478482999117,37589.97414678507,0%
2025-03-09 19:21:00-07:00,115.46836697102864,-5.2566208478888425,138.46970594535182,42.55481611204854,37590.01715597505,0%
2025-03-09 19:22:00-07:00,115.71891500736551,-5.2560992789657925,138.46985938230574,42.55484816299808,37590.059953496,0%
2025-03-09 19:23:00-07:00,115.9694622359969,-5.255578302557208,138.47001307021551,42.55488098218678,37590.10253853333,0%
