Lat,Lon
19.445922251145728,-69.10003418538055
20.355027316277827,-68.97689434044375
21.177320455258847,-68.81005953168987
21.907978598330704,-68.60185474587006
22.542562742313212,-68.35551768963889
23.07709305298287,-68.07517285319808
23.508122490115,-67.76577304979345
23.832805519175682,-67.43300718011888
24.048958370363184,-67.08317533440557
24.155107493076738,-66.7230349395948
24.150523350578403,-66.35962417764902
24.035237482070805,-66.00007100804224
23.810041760886843,-65.6513975164435
23.4764698957352,-65.32032977147382
23.03676233501383,-65.01312282991567
22.493816721071102,-64.73540907281505
21.851126802102478,-64.49207590153976
21.112713180790116,-64.28717628503001
20.283049440964287,-64.12387306347044
19.366987068133987,-64.00441557991249
18.369682220396392,-63.9301453503653
17.29652688530145,-63.90152621182522
16.153086352539248,-63.918193725605995
14.945044311609811,-63.97901849883232
13.67815630296739,-64.08217840813961
12.358211747575352,-64.22523533451292
10.991004372738717,-64.40521281592638
9.582310545968218,-64.618671885473
8.13787481693218,-64.86178320216246
6.663401835229749,-65.1303943411779
5.164553754550087,-65.42009178852594
3.6469521900270028,-65.72625766658871
2.1161838375805075,-66.04412171530069
0.5778088667366521,-66.36880931329196
-0.9626287606475377,-66.69538657259663
-2.499589867218496,-67.01890368469746
-4.027528335782998,-67.33443777709586
-5.540879881670478,-67.63713656111645
-7.034052128009661,-67.92226401509669
-8.501416810682537,-68.18524924973502
-9.937304968582907,-68.42173953563268
-11.33600600549262,-68.62765822592596
-12.691771533179372,-68.79926796491141
-13.998824909184414,-68.93323912397247
-15.251377352573668,-69.02672283990495
-16.443651439983622,-69.07742734787097
-17.56991263515106,-69.08369551758624
-18.62450927154931,-69.0445806525123
-19.601921077719307,-68.95991676065933
-20.496815904231468,-68.8303787419131
-21.304113787758602,-68.65752737730898
-22.019056894992268,-68.44383378173372
-22.63728326856206,-68.1926782226866
-23.15490170763905,-67.90831901568532
-23.568564629620493,-67.59582862505243
-23.875535452782444,-67.26099608549703
-24.07374698178376,-66.91019727244856
-24.161847515159646,-66.55023714429859
-24.139231938340174,-66.18817054656162
-24.006055886797398,-65.83111016887757
-23.76323208851363,-65.48603149062565
-23.412409116883673,-65.15958484698278
-22.955933881681222,-64.85792404945958
-22.396800138447286,-64.58655941136882
-21.738586011251915,-64.35024079800814
-20.985383943943305,-64.15287376178077
-20.141726607992453,-63.997469266949935
-19.212512128341483,-63.88612524630558
-18.20293159966762,-63.82003646604824
-17.118401327803234,-63.799528006568444
-15.964501620763636,-63.82410709968859
-14.746923338442658,-63.892528026013956
-13.47142284161979,-64.00286515351966
-12.143785493491707,-64.15258985651042
-10.769797477203463,-64.3386478663956
-9.355225403261365,-64.55753446513054
-7.905802983390456,-64.80536576037704
-6.427223926641314,-65.07794502337954
-4.925140164779992,-65.37082372848522
-3.405164476240814,-65.67935739596518
-1.8728766225557572,-65.99875681847253
-0.3338321154098325,-66.32413549662274
1.2064272273838683,-66.65055434460102
2.742361753962723,-66.97306486024586
4.268422279811247,-67.28675202571387
5.779039016854331,-67.5867782176506
7.268611939523009,-67.86842936035742
8.731503419683031,-68.12716444787132
10.162033992393445,-68.35866938252123
11.554482145051754,-68.55891581605606
12.903089043908663,-68.72422532084529
14.202069111690976,-68.85133875019767
15.445627333095903,-68.93749006038442
16.62798407424071,-68.9804831649608
17.74340804027476,-68.97876959264602
18.786257746450172,-68.93152386328948
19.7510315308789,-68.83871264979719
20.63242568944596,-68.7011530515882
21.425399775001875,-68.52055478831434
22.1252475004159,-68.29954096350043
22.727671062863347,-68.04164237454341
23.228856126556753,-67.75126125281989
23.625544236817554,-67.43360183687136
23.915099166504998,-67.09456725613705
24.09556368282963,-66.74062467098706
24.165703510567766,-66.37864322112233
24.125035862158796,-66.01571175570196
23.97384076823535,-65.65894522224043
23.713154494215466,-65.31528969453282
23.3447454589485,-64.9913361546016
22.87107415605383,-64.69315228668492
22.295239501306433,-64.42613982723127
21.620914700928463,-64.19492269963693
20.852276106431905,-64.00326857252446
19.993928586017613,-63.854043946564296
19.050830733850763,-63.74920067581509
18.028222818148098,-63.68979015251115
16.93155981216779,-63.67600031395171
15.7664512345352,-63.70721015602689
14.538608912451497,-63.782056479164495
13.253803222587724,-63.898508027377915
11.917827890982347,-64.05394287580849
10.536473059186788,-64.24522575155092
9.115506049656785,-64.46878283427448
7.660659079753059,-64.72067240271593
6.1776230642270535,-64.99665042007119
4.672046605740107,-65.29223079089309
3.1495392413549004,-65.60274046705426
1.6156780608243242,-65.92337004033159
0.07601681853214706,-66.2492206896518
-1.4639032988012062,-66.57534857260575
-2.998542062953207,-66.89680787246694
-4.522348553576308,-67.2086937733598
-6.029750265334433,-67.50618663865356
-7.5151437844188225,-67.78459861236631
