Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 19:00:00-07:00,110.26987611481653,-5.303865872775285,138.5783196034115,42.29714459601069,37602.811651327625,0%
2025-03-09 19:01:00-07:00,110.52051422716455,-5.303205230356181,138.57828799601032,42.29722697866756,37602.81536953478,0%
2025-03-09 19:02:00-07:00,110.7711519787614,-5.302544961349886,138.57825613482777,42.29730987082926,37602.819014806526,0%
2025-03-09 19:03:00-07:00,111.02178937053881,-5.301885078321117,138.5782240204393,42.29739327097331,37602.82258706924,0%
2025-03-09 19:04:00-07:00,111.27242640342196,-5.30122559382727,138.57819165343133,42.29747717757031,37602.82608625044,0%
2025-03-09 19:05:00-07:00,111.52306307835852,-5.300566520418072,138.57815903438623,42.29756158907688,37602.829512279415,0%
2025-03-09 19:06:00-07:00,111.7736993962839,-5.299907870635548,138.57812616390967,42.29764650394886,37602.832865086166,0%
2025-03-09 19:07:00-07:00,112.02433535816225,-5.299249657013481,138.5780930425873,42.29773192062019,37602.836144602974,0%
2025-03-09 19:08:00-07:00,112.27497096494523,-5.298591892077493,138.57805967103107,42.297817837525685,37602.83935076281,0%
2025-03-09 19:09:00-07:00,112.52560621759852,-5.297934588344568,138.57802604985,42.297904253086614,37602.84248350027,0%
2025-03-09 19:10:00-07:00,112.77624111709707,-5.2972777583229504,138.5779921796569,42.29799116571419,37602.84554275152,0%
2025-03-09 19:11:00-07:00,113.02687566442164,-5.296621414511756,138.57795806106265,42.29807857380676,37602.84852845423,0%
2025-03-09 19:12:00-07:00,113.27750986054889,-5.295965569401022,138.57792369470295,42.29816647576281,37602.85144054685,0%
2025-03-09 19:13:00-07:00,113.52814370647957,-5.295310235471102,138.5778890811958,42.298254869960374,37602.85427897004,0%
2025-03-09 19:14:00-07:00,113.77877720320888,-5.294655425192713,138.57785422117763,42.29834375477461,37602.85704366539,0%
2025-03-09 19:15:00-07:00,114.02941035174058,-5.294001151026588,138.5778191152875,42.298433128570174,37602.85973457593,0%
2025-03-09 19:16:00-07:00,114.28004315308912,-5.293347425423197,138.57778376416573,42.29852298970057,37602.86235164637,0%
2025-03-09 19:17:00-07:00,114.53067560827242,-5.292694260822611,138.5777481684563,42.29861333650938,37602.864894822706,0%
2025-03-09 19:18:00-07:00,114.78130771830736,-5.292041669654262,138.5777123288224,42.298704167337824,37602.86736405198,0%
2025-03-09 19:19:00-07:00,115.03193948423673,-5.291389664336511,138.57767624590414,42.29879548050422,37602.869759283574,0%
2025-03-09 19:20:00-07:00,115.28257090709138,-5.290738257276698,138.57763992037127,42.29888727432974,37602.87208046738,0%
2025-03-09 19:21:00-07:00,115.53320198791097,-5.290087460870775,138.57760335289422,42.298979547124276,37602.87432755495,0%
2025-03-09 19:22:00-07:00,115.78383272775322,-5.28943728750296,138.57756654413575,42.299072297182526,37602.876500499646,0%
2025-03-09 19:23:00-07:00,116.03446312766945,-5.288787749545707,138.57752949477444,42.299165522795256,37602.87859925582,0%
2025-03-09 19:24:00-07:00,116.28509318872155,-5.288138859359339,138.5774922054918,42.29925922224333,37602.880623779405,0%
2025-03-09 19:25:00-07:00,116.5357229119796,-5.287490629291854,138.57745467697268,42.29935339379769,37602.88257402773,0%
2025-03-09 19:26:00-07:00,116.78635229852148,-5.286843071678629,138.5774169099003,42.29944803571714,37602.88444995983,0%
2025-03-09 19:27:00-07:00,117.03698134942117,-5.286196198842373,138.57737890497933,42.29954314625961,37602.886251535514,0%
2025-03-09 19:28:00-07:00,117.28761006577477,-5.2855500230925765,138.5773406628961,42.29963872366277,37602.88797871691,0%
2025-03-09 19:29:00-07:00,117.53823844866847,-5.284904556725648,138.57730218436305,42.29973476616569,37602.88963146673,0%
2025-03-09 19:30:00-07:00,117.7888664992061,-5.284259812024356,138.57726347008372,42.29983127199189,37602.89120974965,0%
2025-03-09 19:31:00-07:00,118.03949421849231,-5.283615801257819,138.57722452077167,42.299928239358614,37602.89271353162,0%
2025-03-09 19:32:00-07:00,118.29012160763965,-5.282972536681135,138.5771853371445,42.30002566647388,37602.89414277994,0%
2025-03-09 19:33:00-07:00,118.54074866776116,-5.282330030535265,138.57714591992809,42.300123551538626,37602.89549746334,0%
2025-03-09 19:34:00-07:00,118.7913753999892,-5.281688295046615,138.57710626983751,42.300221892737355,37602.89677755237,0%
2025-03-09 19:35:00-07:00,119.04200180544764,-5.281047342427072,138.577066387612,42.30032068825551,37602.89798301847,0%
2025-03-09 19:36:00-07:00,119.29262788527286,-5.280407184873542,138.5770262739861,42.30041993626504,37602.89911383477,0%
2025-03-09 19:37:00-07:00,119.54325364060799,-5.279767834567819,138.57698592969854,42.30051963492908,37602.90016997585,0%
2025-03-09 19:38:00-07:00,119.79387907260383,-5.279129303676316,138.57694535549,42.300619782400844,37602.90115141783,0%
2025-03-09 19:39:00-07:00,120.04450418240839,-5.278491604349919,138.57690455211593,42.30072037682965,37602.902058137915,0%
2025-03-09 19:40:00-07:00,120.29512897118575,-5.277854748723631,138.57686352032755,42.30082141635216,37602.90289011501,0%
2025-03-09 19:41:00-07:00,120.54575344010146,-5.277218748916396,138.57682226087667,42.300922899094424,37602.90364732964,0%
2025-03-09 19:42:00-07:00,120.79637759031989,-5.2765836170309734,138.57678077453645,42.301024823182125,37602.90432976315,0%
2025-03-09 19:43:00-07:00,121.04700142302961,-5.275949365153452,138.5767390620603,42.30112718672065,37602.90493739917,0%
2025-03-09 19:44:00-07:00,121.2976249394065,-5.275316005353323,138.57669712422785,42.30122998781742,37602.90547022208,0%
2025-03-09 19:45:00-07:00,121.54824814063923,-5.274683549683054,138.57665496181414,42.30133322456707,37602.905928217886,0%
2025-03-09 19:46:00-07:00,121.79887102792394,-5.2740520101778845,138.57661257559738,42.30143689505517,37602.90631137419,0%
2025-03-09 19:47:00-07:00,122.04949360246297,-5.273421398855678,138.57656996636217,42.30154099735982,37602.906619679845,0%
2025-03-09 19:48:00-07:00,122.30011586545636,-5.2727917277166085,138.57652713489807,42.30164552955108,37602.906853125256,0%
2025-03-09 19:49:00-07:00,122.55073781812328,-5.27216300874295,138.57648408199233,42.30175048968742,37602.907011702424,0%
2025-03-09 19:50:00-07:00,122.80135946167441,-5.271535253898926,138.57644080844935,42.30185587582519,37602.90709540437,0%
2025-03-09 19:51:00-07:00,123.051980797335,-5.270908475130384,138.57639731506814,42.30196168600784,37602.907104225866,0%
2025-03-09 19:52:00-07:00,123.30260182633789,-5.270282684364562,138.57635360265104,42.30206791827002,37602.9070381632,0%
2025-03-09 19:53:00-07:00,123.55322254991098,-5.269657893510002,138.5763096720121,42.30217457064189,37602.90689721379,0%
2025-03-09 19:54:00-07:00,123.80384296928997,-5.269034114456213,138.57626552397306,42.302281641147,37602.90668137645,0%
2025-03-09 19:55:00-07:00,124.05446308573106,-5.268411359073335,138.57622115933697,42.30238912778968,37602.906390652184,0%
2025-03-09 19:56:00-07:00,124.30508290047635,-5.267789639212212,138.57617657893798,42.30249702857922,37602.90602504247,0%
2025-03-09 19:57:00-07:00,124.55570241478567,-5.267168966703865,138.5761317835985,42.30260534150911,37602.90558455089,0%
2025-03-09 19:58:00-07:00,124.80632162991895,-5.266549353359479,138.57608677415342,42.302714064568846,37602.905069182074,0%
2025-03-09 19:59:00-07:00,125.05694054714446,-5.265930810970016,138.5760415514335,42.30282319573588,37602.90447894245,0%
2025-03-09 20:00:00-07:00,125.30755916773012,-5.265313351306191,138.5759961162848,42.30293273298518,37602.90381383949,0%
2025-03-09 20:01:00-07:00,125.55817749295615,-5.264696986118015,138.57595046954833,42.303042674279254,37602.90307388237,0%
2025-03-09 20:02:00-07:00,125.80879552410624,-5.264081727134753,138.5759046120726,42.30315301757437,37602.902259081675,0%
