X,Y,Z
859.7362268346642,5266.202543854902,3485.7577126582296
836.6877727832991,5269.876324398064,3485.814042718821
813.623465673082,5273.449226606535,3485.870415620913
790.5437470226323,5276.921182084482,3485.926830285395
767.4490586463301,5280.292124368372,3485.9832856323715
744.3398426443906,5283.561988928481,3486.0397805811544
721.2165413953702,5286.730713169969,3486.096314050305
698.0795975474709,5289.798236434118,3486.1528849576443
674.9294540100482,5292.764499999505,3486.2094922202764
651.7665539451128,5295.629447083104,3486.2661347546123
628.5913407587008,5298.393022841419,3486.3228114763842
605.4042580931816,5301.0551743714195,3486.3795213006715
582.205749817501,5303.6158507117125,3486.4362631419185
558.9962600195322,5306.075002843411,3486.4930359139566
535.7762329973755,5308.432583691107,3486.549838530025
512.5461132508286,5310.6885481237605,3486.6066699027947
489.30634547278606,5312.842852955584,3486.663528944382
466.057374541208,5314.895456946816,3486.7204145663736
442.79964550973017,5316.846320804599,3486.7773256798496
419.533603600121,5318.6954071836335,3486.8342611953976
396.2596941929405,5320.4426806869815,3486.8912200231453
372.97836281945075,5322.0881078666835,3486.9482010727656
349.690055152923,5323.63165722443,3487.005203253512
326.3952170004532,5325.073299212134,3487.062225474229
303.09429429386887,5326.413006232531,3487.1192666433826
279.7877330814342,5327.650752639702,3487.1763256690683
256.4759795197063,5328.786514739523,3487.233401459048
233.15947986419872,5329.82027079019,3487.2904929207566
209.83868046169437,5330.75200100256,3487.3475989613307
186.51402774099662,5331.5816875405835,3487.404718487629
163.18596820473982,5332.309314521632,3487.461850406249
139.85494842080067,5332.934868016786,3487.5189936235515
116.5214150136034,5333.458336051124,3487.5761470456832
93.18581465590668,5333.879708603936,3487.6333095785944
69.84859406007858,5334.198977608913,3487.6904801280593
46.510199969215606,5334.416136954322,3487.7476575996984
23.171079149047824,5334.531182483108,3487.8048408990003
-0.16832162083600638,5334.544111992963,3487.862028931342
-23.507555555444586,5334.454925236401,3487.9192206020107
-46.846175872996085,5334.263623920725,3487.976414816224
-70.18373580369834,5333.970211708017,3488.0336104791477
-93.51978859733977,5333.57469421507,3488.0908064959194
-116.85388753327946,5333.077079013263,3488.1480017716763
-140.185585928009,5332.477375628436,3488.2051952115607
-163.51443714403715,5331.775595540687,3488.262385720755
-186.83999459831057,5330.971752184169,3488.3195722044975
-210.16181177086503,5330.065860946829,3488.3767535681045
-233.47944221356204,5329.057939170096,3488.433928716985
-256.7924395577035,5327.9480061486,3488.491096556671
-280.10035752400165,5326.736083129735,3488.5482559928328
-303.4027499301288,5325.42219331329,3488.6054059313046
-326.69917069958,5324.006361851007,3488.6625452780945
-349.98917387025523,5322.488615846077,3488.7196729394223
-373.27231360255763,5320.868984352662,3488.7767878217246
-396.54814418876254,5319.147498375284,3488.8338888316866
-419.8162200605532,5317.3241908682885,3488.890974876256
-443.0760957984743,5315.39909673516,3488.9480448626664
-466.32732613986116,5313.372252827897,3489.005097698463
-489.5694659877333,5311.243697946259,3489.0621322915167
-512.8020704187101,5309.0134728371095,3489.119147550045
-536.0246946923492,5306.681620193527,3489.176142382638
-559.2368942591202,5304.248184654066,3489.2331156982755
-582.4382247691669,5301.713212801851,3489.2900664063504
-605.6282420804666,5299.0767531637475,3489.3469934166874
-628.8065022675739,5296.338856209398,3489.403895639563
-651.9725616303359,5293.499574350219,3489.4607719857304
-675.1259767020395,5290.558961938447,3489.5176213664386
-698.2663042580315,5287.517075266097,3489.5744426934484
-721.3931013241696,5284.373972563859,3489.631234879061
-744.5059251856031,5281.129713999962,3489.6879968361345
-767.6043333941986,5277.784361679171,3489.744727478106
-790.6878837785662,5274.337979641363,3489.8014257190116
-813.7561344514227,5270.790633860474,3489.858090473505
-836.8086438184476,5267.14239224317,3489.9147206568846
-859.8449705865785,5263.393324627573,3489.971315185108
-882.8646737725816,5259.543502781901,3490.0278729748147
-905.8673127116753,5255.5930004030715,3490.0843929433518
-928.8524470650254,5251.541893115443,3490.1408740087813
-951.819636829599,5247.390258469126,3490.1973150899194
-974.7684423456338,5243.138175938665,3490.253715106342
-997.6984243053041,5238.785726921472,3490.310072978411
-1020.6091437611178,5234.332994736269,3490.366387627298
-1043.5001621343167,5229.780064621495,3490.4226579749984
-1066.3710412234145,5225.127023733641,3490.47888294436
-1089.2213432122057,5220.373961145673,3490.5350614590916
-1112.0506306783782,5215.520967845263,3490.591192443795
-1134.858466602167,5210.568136733002,3490.647274823986
-1157.6444143742924,5205.515562620696,3490.7033075261065
-1180.4080378046474,5200.3633422295,3490.759289477546
-1203.1489011300712,5195.11157418817,3490.8152196066717
-1225.8665690235039,5189.760359031023,3490.871096842838
-1248.5606066018534,5184.309799196082,3490.9269201164134
-1271.2305794341123,5178.759999023198,3490.9826883588007
-1293.8760535502015,5173.111064751907,3491.038400502452
-1316.4965954491042,5167.363104519447,3491.094055480898
-1339.0917721066612,5161.516228358798,3491.149652228758
-1361.6611509846773,5155.5705481964,3491.2051896817716
-1384.2043000386557,5149.526177850118,3491.2606667768064
-1406.7207877263515,5143.383233027002,3491.3160824518936
-1429.2101830156525,5137.141831321177,3491.3714356462333
-1451.6720553930836,5130.802092211526,3491.426725300225
-1474.105974872263,5124.364137059325,3491.48195035548
-1496.5115120017986,5117.828089106041,3491.5371097548527
-1518.8882378736243,5111.194073470918,3491.5922024424476
-1541.2357241311943,5104.462217148588,3491.64722736365
-1563.553542977706,5097.632649006652,3491.7021834651423
-1585.8412671845094,5090.705499783121,3491.7570696949224
-1608.098470098358,5083.680902084218,3491.8118850023247
-1630.3247256509635,5076.558990381394,3491.8666283380444
-1652.5196083662336,5069.3399010090625,3491.921298654151
-1674.682693368648,5062.023772161892,3491.975894904113
-1696.8135563913825,5054.610743892177,3492.0304160428163
-1718.9117737844356,5047.100958107154,3492.084861026585
-1740.9769225229734,5039.4945585662,3492.1392288132024
-1763.0085802145074,5031.7916908784055,3492.193518361923
-1785.0063251083488,5023.99250249931,3492.247728633505
-1806.96973610277,5016.097142728389,3492.3018585902246
-1828.8983927533086,5008.105762706127,3492.3559071958894
-1850.7918752807875,5000.018515411112,3492.409873415868
-1872.6497645794764,4991.835555657085,3492.463756217106
-1894.4716422247923,4983.557040090081,3492.517554568147
-1916.2570904815195,4975.183127185349,3492.5712674391457
-1938.0056923120271,4966.713977244252,3492.624893801897
-1959.7170313839133,4958.149752391314,3492.6784326298516
-1981.3906920782395,4949.4906165710145,3492.731882898136
-2003.0262594969568,4940.736735544859,3492.785243583569
-2024.6233194716306,4931.888276887899,3492.8385136646853
-2046.1814585707923,4922.945409985762,3492.891692121755
-2067.7002641082076,4913.908306031243,3492.944777936803
-2089.1793241502182,4904.777138021276,3492.9977700936215
