Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km)
2024-08-06 10:00:00-04:00,50.081670212822274,-4.183672090895146,228.13818147604357,34.63528911347984,38207.481264646514
2024-08-06 11:00:00-04:00,65.12935768151175,-3.946065170496692,228.2796821743929,34.80741973205199,38193.13981445786
2024-08-06 12:00:00-04:00,80.1793595376633,-3.846388880203896,228.31804912928638,34.86562071158015,38188.29089131252
2024-08-06 13:00:00-04:00,95.22930378151173,-3.8915455563061676,228.25209244278295,34.80485234484702,38193.3306069615
2024-08-06 14:00:00-04:00,110.27664245331563,-4.078366188759243,228.0887863273511,34.628067309497844,38208.04025464832
2024-08-06 15:00:00-04:00,125.31933461316052,-4.393848056850681,227.84211156761904,34.34634428790494,38231.56770531858
2024-08-06 16:00:00-04:00,140.35640446669927,-4.816109872323051,227.5313105166588,33.97840639653875,38262.444346335265
2024-08-06 17:00:00-04:00,155.38822329148022,-5.315976479384044,227.17891747209637,33.549477306089855,38298.64776305537
2024-08-06 18:00:00-04:00,170.41643948551643,-5.859053973952377,226.80889639274778,33.08952077629947,38337.7161895645
2024-08-06 19:00:00-04:00,185.44357572388054,-6.408127120610592,226.4450975265048,32.63100455396065,38376.91331800933
2024-08-06 20:00:00-04:00,200.472399549768,-6.925703583571538,226.11008944606004,32.206402010647366,38413.43301999481
2024-08-06 21:00:00-04:00,215.50523202404227,-7.376537188155423,225.82429257483955,31.84568001658103,38444.625090949936
2024-08-06 22:00:00-04:00,230.5433746138132,-7.729976833684725,225.60527401300735,31.57401715143891,38468.217431403806
2024-08-06 23:00:00-04:00,245.58680424990607,-7.962003079595348,225.46706841602978,31.40996007185049,38482.50855391095
2024-08-07 00:00:00-04:00,260.6342167930221,-8.056830032874233,225.41945053364805,31.364167119236566,38486.50751115174
2024-08-07 01:00:00-04:00,275.6834068393284,-8.007969471657281,225.4671703573419,31.438818528761967,38480.00556922151
2024-08-07 02:00:00-04:00,290.73188065461875,-7.818681677313369,225.60924419949325,31.62770006563305,38463.57379328434
2024-08-07 03:00:00-04:00,305.77753479933557,-7.50177516677544,225.83845231549446,31.916900370331103,38438.49114243465
2024-08-07 04:00:00-04:00,320.8192152722972,-7.078762779334132,226.14121430808535,32.28600969079175,38406.61663401476
2024-08-07 05:00:00-04:00,335.8570061588861,-6.578428045056559,226.49799460638286,32.709675651848,38370.22496910318
2024-08-07 06:00:00-04:00,350.8921725435612,-6.034896559383158,226.88433427826814,33.159364276331054,38331.82676221146
2024-08-07 07:00:00-04:00,5.926777110495636,-5.485338057850837,227.27251899802465,33.60519080342919,38293.99221372595
2024-08-07 08:00:00-04:00,20.963077236191356,-4.9674459528272585,227.63378602074792,34.01771870645952,38259.191664415746
2024-08-07 09:00:00-04:00,36.002867158242466,-4.516854938502121,227.94086061480976,34.36966507716819,38229.65967122775
2024-08-07 10:00:00-04:00,51.04694415897293,-4.164666314847849,228.17051652581085,34.63748152635504,38207.28303583771
2024-08-07 11:00:00-04:00,66.09484568527641,-3.9352543154543094,228.30580255893776,34.8027892065128,38193.509312304355
2024-08-07 12:00:00-04:00,81.14493276691636,-3.8445206067989526,228.33759481540395,34.853628802469586,38189.27170681824
2024-08-07 13:00:00-04:00,96.19480182934782,-3.8987421282558414,228.26523411734487,34.78544844761207,38194.92883368989
2024-08-07 14:00:00-04:00,111.24191624765946,-4.094115571717054,228.09617863204286,34.60171310772169,38210.2223696766
2024-08-07 15:00:00-04:00,126.28428707949831,-4.417041840701467,227.8447994603028,34.314002395063596,38234.260359022635
2024-08-07 16:00:00-04:00,141.32101786834804,-4.845124465664787,227.53061016633566,33.94148790906915,38265.5367638343
