index,center_x,center_y,length,angle_rad,flux,flux_err,avg_fwhm,sky_median,bkg_subtracted_flux,magzero,magzero_err,snr,saturated
1,781.7428,379.5017,78.7146,0.4737,3387999.0000,1852.4083,3.2488,1648.0000,1641119.0000,16.3249,0.0006,885.94,False
2,308.4724,983.5526,77.3618,0.4833,2915883.0000,1720.0475,3.5829,1592.0000,1257019.0000,16.1619,0.0006,730.80,False
