Lat,Lon
-0.02936822130442815,-96.09344538786145
-0.029168939283203393,-96.09343220504854
-0.02896910326144111,-96.09341857693776
-0.028768717073954973,-96.09340450477174
-0.028567784566005366,-96.09338998979155
-0.028366309593323303,-96.09337503324237
-0.02816429602201339,-96.09335963640522
-0.027961747728453126,-96.09334380053349
-0.02775866859922944,-96.09332752690781
-0.027555062531084886,-96.09331081682036
-0.02735093343082252,-96.09329367156566
-0.027146285215207375,-96.09327609243853
-0.02694112181097525,-96.0932580807645
-0.026735447154651905,-96.09323963785148
-0.026529265192541753,-96.09322076502909
-0.02632257988065035,-96.09320146363967
-0.026115395184584615,-96.09318173502416
-0.02590771507946406,-96.09316158052964
-0.02569954354993005,-96.0931410015256
-0.02549088458994779,-96.0931199993821
-0.02528174220280038,-96.09309857546071
-0.025072120401039795,-96.09307673116406
-0.02486202320631346,-96.0930544678746
-0.024651454649378273,-96.09303178699302
-0.02444041877000381,-96.09300868993495
-0.02422891961684084,-96.09298517811162
-0.02401696124740096,-96.09296125294621
-0.023804547727973174,-96.09293691587902
-0.023591683133514247,-96.09291216834293
-0.02337837154759652,-96.09288701178546
-0.023164617062334424,-96.09286144766955
-0.02295042377827553,-96.09283547745466
-0.02273579580433998,-96.09280910260745
-0.022520737257761145,-96.09278232461976
-0.0223052522639768,-96.09275514496659
-0.022089344956549913,-96.09272756514501
-0.021873019477114532,-96.09269958666037
-0.02165627997528733,-96.09267121102037
-0.02143913060854508,-96.09264243973998
-0.021221575542231686,-96.09261327435048
-0.02100361894940696,-96.09258371638303
-0.020785265010756993,-96.09255376736563
-0.020566517914602768,-96.09252342886242
-0.02034738185671626,-96.09249270241793
-0.020127861040300885,-96.09246158959557
-0.019907959675903922,-96.09243009196705
-0.019687681981310205,-96.09239821110818
-0.019467032181489225,-96.09236594860022
-0.019246014508491633,-96.0923333060429
-0.019024633201393287,-96.09230028502647
-0.018802892506185574,-96.0922668871571
-0.018580796675720004,-96.09223311405442
-0.018358349969589505,-96.09219896733458
-0.01813555665410558,-96.09216444861941
-0.01791242100216673,-96.09212955955684
-0.017688947293173357,-96.09209430177786
-0.01746513981298457,-96.09205867692698
-0.017241002853815773,-96.09202268667404
-0.017016540714133128,-96.09198633266449
-0.016791757698635636,-96.09194961658781
-0.01656665811808907,-96.09191254010675
-0.016341246289286532,-96.09187510490348
-0.01611552653498349,-96.091837312677
-0.015889503183791644,-96.0917991651182
-0.015663180570073588,-96.09176066392487
-0.015436563033916991,-96.09172181082337
-0.01520965492099799,-96.09168260751649
-0.014982460582511308,-96.0916430557295
-0.014754984375124697,-96.09160315720672
-0.014527230660828469,-96.09156291367142
-0.014299203806900647,-96.09152232686316
-0.014070908185818362,-96.09148139855141
-0.01384234817515588,-96.09144013047641
-0.013613528157496734,-96.09139852439999
-0.013384452520391728,-96.09135658210852
-0.01315512565621696,-96.09131430536635
-0.01292555196212925,-96.09127169595119
-0.012695735839975181,-96.09122875566457
-0.012465681696193314,-96.09118548629364
-0.012235393941725459,-96.09114188963389
-0.012004876991969319,-96.09109796751203
-0.011774135266655045,-96.0910537217251
-0.011543173189759623,-96.09100915409606
-0.011311995189459693,-96.09096426645866
-0.011080605698008552,-96.09091906064023
-0.010849009151649939,-96.09087353846988
-0.010617209990585536,-96.09082770181064
-0.010385212658820305,-96.0907815525009
-0.010153021604101796,-96.09073509239471
-0.00992064127786789,-96.09068832337
-0.00968807613512452,-96.09064124728084
-0.009455330634353087,-96.09059386599844
-0.009222409237456191,-96.0905461814163
-0.0089893164096576,-96.09049819541467
-0.008756056619399573,-96.09044990987476
-0.008522634338299471,-96.09040132671467
-0.008289054041024306,-96.09035244782184
-0.008055320205193483,-96.09030327510335
-0.007821437311357305,-96.09025381048521
-0.007587409842841103,-96.09020405587972
-0.007353242285708417,-96.09015401320671
-0.007118939128635256,-96.09010368441268
-0.006884504862852352,-96.09005307142117
-0.0066499439820475945,-96.0900021761737
-0.006415260982289071,-96.08995100062931
-0.006180460361970617,-96.08989954678856
-0.0059455466215272874,-96.0898478164834
-0.005710524263684833,-96.08979581176122
-0.0054753977931199065,-96.089743534571
-0.005240171716453723,-96.08969098688522
-0.005004850542172221,-96.08963817069912
-0.004769438780514917,-96.08958508798544
-0.004533940943404266,-96.08953174072755
-0.0042983615443613656,-96.08947813093289
-0.004062705098401321,-96.0894242605925
-0.0038269761219646187,-96.08937013170446
-0.003591179132830715,-96.08931574629653
-0.003355318650012657,-96.08926110636648
-0.003119399193680702,-96.08920621393544
-0.0028834252850926624,-96.08915107103488
-0.0026474014464725306,-96.08909567968803
-0.0024113322009391733,-96.08904004191936
-0.002175222072454263,-96.08898415978571
-0.0019390755856595531,-96.08892803530952
-0.001702897265864812,-96.08887167055833
-0.0014666916389122465,-96.08881506757278
-0.0012304632311062995,-96.08875822840128
-0.0009942165691377,-96.08870115512157
-0.0007579561799784065,-96.08864384979147
-0.0005216865907881985,-96.08858631447568
-0.0002854123288683954,-96.08852855126025
-4.913792152509583e-05,-96.08847056221713
0.00018713210399380698,-96.0884123494218
0.00042339322057410823,-96.08835391497705
0.0006596409013543429,-96.08829526096638
0.0008958706197884531,-96.08823638947817
0.0011320778497296545,-96.08817730262766
0.0013682580655404626,-96.08811800251144
0.0016044067421702988,-96.08805849122837
0.0018405193552145968,-96.08799877090986
0.0020765913810463876,-96.08793884366098
0.0023126182968870694,-96.08787871159637
0.0025485955808664095,-96.08781837685176
0.0027845187121532844,-96.0877578415516
0.0030203831710220613,-96.08769710781725
0.0032561844389183106,-96.08763617780247
