Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-10 01:26:00-07:00,194.46235468547755,-2.0353109373153093,152.35257147819053,51.292619753640395,36711.16703916146,0%
2025-03-10 01:27:00-07:00,194.71622102842224,-2.040357189502022,152.3508983298656,51.2868596987547,36711.51792263894,0%
2025-03-10 01:28:00-07:00,194.9700849710588,-2.045468947357233,152.34926807276412,51.281042629102146,36711.872544377846,0%
2025-03-10 01:29:00-07:00,195.22394648559472,-2.050646108222843,152.3476806741922,51.27516864868548,36712.23089948316,0%
2025-03-10 01:30:00-07:00,195.47780554442076,-2.0558885681366177,152.34613610011485,51.269237862546,36712.59298300285,0%
2025-03-10 01:31:00-07:00,195.73166212013913,-2.061196221834424,152.34463431511062,51.26325037674875,36712.95878992864,0%
2025-03-10 01:32:00-07:00,195.9855161855359,-2.066568962752675,152.3431752824293,51.257206298394514,36713.32831519511,0%
2025-03-10 01:33:00-07:00,196.23936771360684,-2.0720066830306014,152.34175896394316,51.25110573560397,36713.701553680534,0%
2025-03-10 01:34:00-07:00,196.49321667755342,-2.0775092735126828,152.3403853201696,51.244948797520735,36714.07850020658,0%
2025-03-10 01:35:00-07:00,196.74706305076634,-2.083076623751112,152.33905431029393,51.23873559431409,36714.45914953795,0%
2025-03-10 01:36:00-07:00,197.00090680685463,-2.088708622008123,152.33776589212468,51.23246623716427,36714.84349638329,0%
2025-03-10 01:37:00-07:00,197.25474791963583,-2.094405155258626,152.3365200221237,51.22614083826702,36715.23153539457,0%
2025-03-10 01:38:00-07:00,197.50858636313833,-2.1001661091925783,152.33531665539934,51.21975951082886,36715.62326116735,0%
2025-03-10 01:39:00-07:00,197.76242211159303,-2.105991368217581,152.33415574572487,51.2133223690684,36716.01866824056,0%
2025-03-10 01:40:00-07:00,198.01625513945933,-2.1118808154614164,152.33303724550623,51.206829528204935,36716.417751097084,0%
2025-03-10 01:41:00-07:00,198.27008542140314,-2.117834332774644,152.33196110581355,51.200281104463166,36716.820504163145,0%
2025-03-10 01:42:00-07:00,198.52391293231193,-2.1238518007332257,152.33092727636566,51.193677215065996,36717.22692180889,0%
2025-03-10 01:43:00-07:00,198.7777376472894,-2.129933098641118,152.32993570554848,51.18701797823598,36717.63699834791,0%
2025-03-10 01:44:00-07:00,199.0315595416693,-2.1360781045330066,152.3289863403914,51.18030351318568,36718.0507280378,0%
2025-03-10 01:45:00-07:00,199.28537859099566,-2.142286695176949,152.32807912660408,51.17353394012393,36718.46810507964,0%
2025-03-10 01:46:00-07:00,199.539194771053,-2.148558746077101,152.32721400853583,51.16670938024185,36718.889123618654,0%
